Date,Close,Index,Country,Close_1day,Relative,Bm
2019-12-02,3113.87,SP500: US,United States,3113.87,1.0,1.0
2019-12-03,3093.2,SP500: US,United States,3113.87,0.99,2.0
2019-12-04,3112.76,SP500: US,United States,3113.87,1.0,1.0
2019-12-05,3117.43,SP500: US,United States,3113.87,1.0,1.0
2019-12-06,3145.91,SP500: US,United States,3113.87,1.01,1.0
2019-12-09,3135.96,SP500: US,United States,3113.87,1.01,1.0
2019-12-10,3132.52,SP500: US,United States,3113.87,1.01,1.0
2019-12-11,3141.63,SP500: US,United States,3113.87,1.01,1.0
2019-12-12,3168.57,SP500: US,United States,3113.87,1.02,1.0
2019-12-13,3168.8,SP500: US,United States,3113.87,1.02,1.0
2019-12-16,3191.45,SP500: US,United States,3113.87,1.02,1.0
2019-12-17,3192.52,SP500: US,United States,3113.87,1.03,1.0
2019-12-18,3191.14,SP500: US,United States,3113.87,1.02,1.0
2019-12-19,3205.37,SP500: US,United States,3113.87,1.03,1.0
2019-12-20,3221.22,SP500: US,United States,3113.87,1.03,1.0
2019-12-23,3224.01,SP500: US,United States,3113.87,1.04,1.0
2019-12-24,3223.38,SP500: US,United States,3113.87,1.04,1.0
2019-12-26,3239.91,SP500: US,United States,3113.87,1.04,1.0
2019-12-27,3240.02,SP500: US,United States,3113.87,1.04,1.0
2019-12-30,3221.29,SP500: US,United States,3113.87,1.03,1.0
2019-12-31,3230.78,SP500: US,United States,3113.87,1.04,1.0
2020-01-02,3257.85,SP500: US,United States,3113.87,1.05,1.0
2020-01-03,3234.85,SP500: US,United States,3113.87,1.04,1.0
2020-01-06,3246.28,SP500: US,United States,3113.87,1.04,1.0
2020-01-07,3237.18,SP500: US,United States,3113.87,1.04,1.0
2020-01-08,3253.05,SP500: US,United States,3113.87,1.04,1.0
2020-01-09,3274.7,SP500: US,United States,3113.87,1.05,1.0
2020-01-10,3265.35,SP500: US,United States,3113.87,1.05,1.0
2020-01-13,3288.13,SP500: US,United States,3113.87,1.06,1.0
2020-01-14,3283.15,SP500: US,United States,3113.87,1.05,1.0
2020-01-15,3289.29,SP500: US,United States,3113.87,1.06,1.0
2020-01-16,3316.81,SP500: US,United States,3113.87,1.07,1.0
2020-01-17,3329.62,SP500: US,United States,3113.87,1.07,1.0
2020-01-21,3320.79,SP500: US,United States,3113.87,1.07,1.0
2020-01-22,3321.75,SP500: US,United States,3113.87,1.07,1.0
2020-01-23,3325.54,SP500: US,United States,3113.87,1.07,1.0
2020-01-24,3295.47,SP500: US,United States,3113.87,1.06,1.0
